"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"562";3;5;6;9;10;13;15;16;18
"563";3;5;6;9;10;13;15;16;18
"564";3;5;6;9;10;13;15;16;18
"565";3;5;6;9;10;13;15;16;18
"566";3;5;6;9;10;13;14;14;14
"567";3;5;6;9;10;13;15;16;18
"568";3;5;6;9;10;13;14;14;14
"569";3;5;6;9;10;13;14;14;14
"570";3;5;6;9;10;13;15;16;18
"571";3;5;6;9;10;13;15;16;18
"572";3;5;6;9;10;13;15;16;18
"573";3;5;6;9;10;13;14;14;14
"574";3;5;6;9;10;13;15;16;18
"575";3;5;6;9;10;13;15;16;18
"576";3;5;6;9;10;13;15;16;18
"577";3;5;6;9;10;13;15;16;18
"578";3;5;6;9;10;13;15;16;18
"579";3;5;6;9;10;13;15;16;18
"580";3;5;6;9;10;13;15;16;18
"581";3;5;6;9;10;13;15;17;17
"582";3;5;6;9;10;13;15;16;18
"583";3;5;6;9;10;13;15;16;18
"584";3;4;4;4;4;4;4;4;4
"585";3;5;7;7;7;7;7;7;7
"586";3;5;7;7;7;7;7;7;7
"587";3;5;7;7;7;7;7;7;7
"588";3;5;7;7;7;7;7;7;7
"589";3;5;6;9;10;13;15;16;18
"590";3;5;7;7;7;7;7;7;7
"591";3;5;6;9;10;13;15;16;18
"592";3;5;6;9;10;13;14;14;14
"593";3;5;6;9;10;13;14;14;14
"594";3;5;6;9;10;13;15;16;18
"595";3;5;6;9;10;13;14;14;14
"596";3;4;4;4;4;4;4;4;4
"597";3;5;6;9;10;13;15;16;18
"598";3;4;4;4;4;4;4;4;4
"599";3;4;4;4;4;4;4;4;4
"600";3;4;4;4;4;4;4;4;4
"601";3;4;4;4;4;4;4;4;4
"602";3;4;4;4;4;4;4;4;4
"603";3;4;4;4;4;4;4;4;4
"604";3;5;7;7;7;7;7;7;7
"605";3;5;7;7;7;7;7;7;7
"606";3;5;7;7;7;7;7;7;7
"607";3;5;7;7;7;7;7;7;7
"608";3;5;7;7;7;7;7;7;7
"609";3;5;6;9;10;13;15;16;18
"610";3;5;6;9;10;13;15;16;18
"611";3;5;6;9;10;13;14;14;14
"612";3;5;6;9;10;13;15;16;18
"613";3;5;6;9;10;13;15;16;18
"614";3;5;6;9;10;13;15;16;18
"615";3;5;6;9;10;13;14;14;14
"616";3;5;6;9;10;13;15;16;18
"617";3;5;6;8;8;8;8;8;8
"618";3;5;7;7;7;7;7;7;7
"619";3;5;6;9;10;13;14;14;14
"620";3;5;7;7;7;7;7;7;7
"621";3;5;6;9;10;13;15;16;18
"622";3;5;6;9;10;13;15;16;19
"623";3;5;6;9;10;13;15;16;19
"624";3;4;4;4;4;4;4;4;4
"625";3;5;6;9;10;13;14;14;14
"626";3;4;4;4;4;4;4;4;4
"627";3;4;4;4;4;4;4;4;4
"628";3;4;4;4;4;4;4;4;4
"629";3;4;4;4;4;4;4;4;4
"630";3;5;6;9;10;13;14;14;14
"631";3;5;6;9;10;13;15;16;18
"632";3;5;6;9;10;13;15;16;18
"633";3;5;6;9;11;11;11;11;11
"634";3;5;6;9;10;13;15;16;18
"635";3;5;6;9;10;13;15;17;17
"636";3;5;6;9;10;13;15;17;17
"637";3;5;6;9;10;13;14;14;14
"638";3;5;6;9;10;13;15;16;18
"639";3;5;6;9;10;13;15;16;18
"640";3;5;6;9;10;13;15;16;18
"641";3;4;4;4;4;4;4;4;4
"642";3;4;4;4;4;4;4;4;4
"643";3;5;6;9;10;13;15;16;18
"644";3;5;7;7;7;7;7;7;7
"645";3;4;4;4;4;4;4;4;4
"646";3;4;4;4;4;4;4;4;4
"647";3;5;6;9;10;13;15;16;18
"648";3;5;6;9;10;13;15;16;18
"649";3;5;6;9;10;13;15;16;18
"650";3;5;6;9;10;13;15;16;18
"651";3;4;4;4;4;4;4;4;4
"652";3;4;4;4;4;4;4;4;4
